CostoDespachoId,Comuna,Valor,Pmin,Pmax,Nombre Comuna,numberID
141,1548,2620,51,100,CUYA (XV Región de Arica y Parinacota),1647
142,1548,2575,101,200,CUYA (XV Región de Arica y Parinacota),1647
143,1548,2551,201,400,CUYA (XV Región de Arica y Parinacota),1647
144,1548,2536,401,600,CUYA (XV Región de Arica y Parinacota),1647
145,1548,2516,601,1000,CUYA (XV Región de Arica y Parinacota),1647
146,1548,2498,1001,2000,CUYA (XV Región de Arica y Parinacota),1647
147,1548,2478,2001,3500,CUYA (XV Región de Arica y Parinacota),1647
148,1548,2470,3501,5000,CUYA (XV Región de Arica y Parinacota),1647
149,1548,2453,5001,10000,CUYA (XV Región de Arica y Parinacota),1647
150,1548,2444,10001,18000,CUYA (XV Región de Arica y Parinacota),1647
151,1549,10759,0,3,CUZ CUZ (XV Región de Arica y Parinacota),1648
152,1549,3067,"3,1",6,CUZ CUZ (XV Región de Arica y Parinacota),1648
153,1549,2886,"6,1",10,CUZ CUZ (XV Región de Arica y Parinacota),1648
154,1549,2851,"10,1",20,CUZ CUZ (XV Región de Arica y Parinacota),1648
155,1549,2677,21,50,CUZ CUZ (XV Región de Arica y Parinacota),1648
156,1549,2620,51,100,CUZ CUZ (XV Región de Arica y Parinacota),1648
157,1549,2575,101,200,CUZ CUZ (XV Región de Arica y Parinacota),1648
158,1549,2551,201,400,CUZ CUZ (XV Región de Arica y Parinacota),1648
159,1549,2536,401,600,CUZ CUZ (XV Región de Arica y Parinacota),1648
160,1549,2516,601,1000,CUZ CUZ (XV Región de Arica y Parinacota),1648
161,1549,2498,1001,2000,CUZ CUZ (XV Región de Arica y Parinacota),1648
162,1549,2478,2001,3500,CUZ CUZ (XV Región de Arica y Parinacota),1648
163,1549,2470,3501,5000,CUZ CUZ (XV Región de Arica y Parinacota),1648
164,1549,2453,5001,10000,CUZ CUZ (XV Región de Arica y Parinacota),1648
165,1549,2444,10001,18000,CUZ CUZ (XV Región de Arica y Parinacota),1648
166,1550,10759,0,3,MOLINOS (XV Región de Arica y Parinacota),1649
167,1550,3067,"3,1",6,MOLINOS (XV Región de Arica y Parinacota),1649
168,1550,2886,"6,1",10,MOLINOS (XV Región de Arica y Parinacota),1649
169,1550,2851,"10,1",20,MOLINOS (XV Región de Arica y Parinacota),1649
170,1550,2677,21,50,MOLINOS (XV Región de Arica y Parinacota),1649
171,1550,2620,51,100,MOLINOS (XV Región de Arica y Parinacota),1649
172,1550,2575,101,200,MOLINOS (XV Región de Arica y Parinacota),1649
173,1550,2551,201,400,MOLINOS (XV Región de Arica y Parinacota),1649
174,1550,2536,401,600,MOLINOS (XV Región de Arica y Parinacota),1649
175,1550,2516,601,1000,MOLINOS (XV Región de Arica y Parinacota),1649
176,1550,2498,1001,2000,MOLINOS (XV Región de Arica y Parinacota),1649
177,1550,2478,2001,3500,MOLINOS (XV Región de Arica y Parinacota),1649
178,1550,2470,3501,5000,MOLINOS (XV Región de Arica y Parinacota),1649
179,1550,2453,5001,10000,MOLINOS (XV Región de Arica y Parinacota),1649
180,1550,2444,10001,18000,MOLINOS (XV Región de Arica y Parinacota),1649
181,1551,13505,0,3,AGUAS CALIENTES (XV Región de Arica y Parinacota),1650
182,1551,3627,"3,1",6,AGUAS CALIENTES (XV Región de Arica y Parinacota),1650
183,1551,3306,"6,1",10,AGUAS CALIENTES (XV Región de Arica y Parinacota),1650
184,1551,3159,"10,1",20,AGUAS CALIENTES (XV Región de Arica y Parinacota),1650
185,1551,2862,21,50,AGUAS CALIENTES (XV Región de Arica y Parinacota),1650
186,1551,2764,51,100,AGUAS CALIENTES (XV Región de Arica y Parinacota),1650
187,1551,2690,101,200,AGUAS CALIENTES (XV Región de Arica y Parinacota),1650
188,1551,2651,201,400,AGUAS CALIENTES (XV Región de Arica y Parinacota),1650
189,1551,2625,401,600,AGUAS CALIENTES (XV Región de Arica y Parinacota),1650
190,1551,2590,601,1000,AGUAS CALIENTES (XV Región de Arica y Parinacota),1650
191,1551,2560,1001,2000,AGUAS CALIENTES (XV Región de Arica y Parinacota),1650
192,1551,2522,2001,3500,AGUAS CALIENTES (XV Región de Arica y Parinacota),1650
193,1551,2507,3501,5000,AGUAS CALIENTES (XV Región de Arica y Parinacota),1650
194,1551,2478,5001,10000,AGUAS CALIENTES (XV Región de Arica y Parinacota),1650
195,1551,2464,10001,18000,AGUAS CALIENTES (XV Región de Arica y Parinacota),1650
196,1552,13505,0,3,AZUFRERA TACORA (XV Región de Arica y Parinacota),1651
197,1552,3627,"3,1",6,AZUFRERA TACORA (XV Región de Arica y Parinacota),1651
198,1552,3306,"6,1",10,AZUFRERA TACORA (XV Región de Arica y Parinacota),1651
199,1552,3159,"10,1",20,AZUFRERA TACORA (XV Región de Arica y Parinacota),1651
200,1552,2862,21,50,AZUFRERA TACORA (XV Región de Arica y Parinacota),1651
201,1552,2764,51,100,AZUFRERA TACORA (XV Región de Arica y Parinacota),1651
202,1552,2690,101,200,AZUFRERA TACORA (XV Región de Arica y Parinacota),1651
203,1552,2651,201,400,AZUFRERA TACORA (XV Región de Arica y Parinacota),1651
204,1552,2625,401,600,AZUFRERA TACORA (XV Región de Arica y Parinacota),1651
205,1552,2590,601,1000,AZUFRERA TACORA (XV Región de Arica y Parinacota),1651
206,1552,2560,1001,2000,AZUFRERA TACORA (XV Región de Arica y Parinacota),1651
207,1552,2522,2001,3500,AZUFRERA TACORA (XV Región de Arica y Parinacota),1651
208,1552,2507,3501,5000,AZUFRERA TACORA (XV Región de Arica y Parinacota),1651
209,1552,2478,5001,10000,AZUFRERA TACORA (XV Región de Arica y Parinacota),1651
210,1552,2464,10001,18000,AZUFRERA TACORA (XV Región de Arica y Parinacota),1651
211,1553,13505,0,3,BELEN (XV Región de Arica y Parinacota),1652
212,1553,3627,"3,1",6,BELEN (XV Región de Arica y Parinacota),1652
213,1553,3306,"6,1",10,BELEN (XV Región de Arica y Parinacota),1652
214,1553,3159,"10,1",20,BELEN (XV Región de Arica y Parinacota),1652
215,1553,2862,21,50,BELEN (XV Región de Arica y Parinacota),1652
216,1553,2764,51,100,BELEN (XV Región de Arica y Parinacota),1652
217,1553,2690,101,200,BELEN (XV Región de Arica y Parinacota),1652
218,1553,2651,201,400,BELEN (XV Región de Arica y Parinacota),1652
219,1553,2625,401,600,BELEN (XV Región de Arica y Parinacota),1652
220,1553,2590,601,1000,BELEN (XV Región de Arica y Parinacota),1652
221,1553,2560,1001,2000,BELEN (XV Región de Arica y Parinacota),1652
222,1553,2522,2001,3500,BELEN (XV Región de Arica y Parinacota),1652
223,1553,2507,3501,5000,BELEN (XV Región de Arica y Parinacota),1652
224,1553,2478,5001,10000,BELEN (XV Región de Arica y Parinacota),1652
225,1553,2464,10001,18000,BELEN (XV Región de Arica y Parinacota),1652
226,1554,13505,0,3,CALETA CAMARONES (XV Región de Arica y Parinacota),1653
227,1554,3627,"3,1",6,CALETA CAMARONES (XV Región de Arica y Parinacota),1653
228,1554,3306,"6,1",10,CALETA CAMARONES (XV Región de Arica y Parinacota),1653
229,1554,3159,"10,1",20,CALETA CAMARONES (XV Región de Arica y Parinacota),1653
230,1554,2862,21,50,CALETA CAMARONES (XV Región de Arica y Parinacota),1653
231,1554,2764,51,100,CALETA CAMARONES (XV Región de Arica y Parinacota),1653
232,1554,2690,101,200,CALETA CAMARONES (XV Región de Arica y Parinacota),1653
233,1554,2651,201,400,CALETA CAMARONES (XV Región de Arica y Parinacota),1653
234,1554,2625,401,600,CALETA CAMARONES (XV Región de Arica y Parinacota),1653
235,1554,2590,601,1000,CALETA CAMARONES (XV Región de Arica y Parinacota),1653
236,1554,2560,1001,2000,CALETA CAMARONES (XV Región de Arica y Parinacota),1653
237,1554,2522,2001,3500,CALETA CAMARONES (XV Región de Arica y Parinacota),1653
238,1554,2507,3501,5000,CALETA CAMARONES (XV Región de Arica y Parinacota),1653
239,1554,2478,5001,10000,CALETA CAMARONES (XV Región de Arica y Parinacota),1653
