"zone","continent","country","state","postcode","class","weight","price","quantity","volume","cost","comment","active"
"ITISA (XV Región de Arica y Parinacota)",,,"CL:1668",,,"0-3",,,,"13505",,1
,,,"CL:1668",,,"3.1-6",,,,"3627",,1
,,,"CL:1668",,,"6.1-10",,,,"3306",,1
,,,"CL:1668",,,"10.1-20",,,,"3159",,1
,,,"CL:1668",,,"21-50",,,,"2862",,1
,,,"CL:1668",,,"51-100",,,,"2764",,1
,,,"CL:1668",,,"101-200",,,,"2690",,1
,,,"CL:1668",,,"201-400",,,,"2651",,1
,,,"CL:1668",,,"401-600",,,,"2625",,1
,,,"CL:1668",,,"601-1000",,,,"2590",,1
,,,"CL:1668",,,"1001-2000",,,,"2560",,1
,,,"CL:1668",,,"2001-3500",,,,"2522",,1
,,,"CL:1668",,,"3501-5000",,,,"2507",,1
,,,"CL:1668",,,"5001-10000",,,,"2478",,1
,,,"CL:1668",,,"10001-18000",,,,"2464",,1
